상가업소번호,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소
MA010120220805474593,온도계,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 자양로43길 60
MA010120220805488886,파워부동산공인중개사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 뚝섬로 508
MA010120220805491154,에스헤어,,수리·개인,이용·미용,미용실,서울특별시 광진구 뚝섬로56길 41
MA010120220805491237,짱노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 동일로18길 51
MA010120220805490149,비쥬리아,,소매,섬유·의복·신발 소매,액세서리/잡화 소매업,서울특별시 광진구 긴고랑로9길 22
MA010120220805482897,장수카페,,음식,비알코올 ,카페,서울특별시 광진구 군자로 140
MA010120220805486622,샤론프린트,,과학·기술,전문 디자인,시각 디자인업,서울특별시 광진구 동일로 388
MA010120220805485628,풍년상회,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 아차산로53길 53
MA010120220805483588,디테일비쉐어하우스,,숙박,기타 숙박,기숙사/고시원,서울특별시 광진구 동일로46길 23-11
MA010120220805484023,온유안경,,소매,안경·정밀기기 소매,안경렌즈 소매업,서울특별시 광진구 능동로 373
MA010120220805500691,디딤온누리약국,,소매,의약·화장품 소매,약국,서울특별시 광진구 천호대로 653
MA010120220805502438,속옷짱,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 영화사로 4
MA010120220805499230,진씨태극권정진무관,,교육,기타 교육,태권도/무술학원,서울특별시 광진구 용마산로3길 99
MA010120220805501736,브라운파스타,,음식,서양식,파스타/스테이크,서울특별시 광진구 동일로 158
MA010120220805501699,맘스터치군자역점,,음식,기타 간이,버거,서울특별시 광진구 능동로 300
MA010120220805504467,헤어웨이구의,,수리·개인,이용·미용,미용실,서울특별시 광진구 아차산로 481
MA010120220805504306,상하세라믹,,소매,철물·건설자재 소매,건설/건축자재 소매업,서울특별시 광진구 자양로 241
MA010120220805494524,다원인테리어,,과학·기술,전문 디자인,인테리어 디자인업,서울특별시 광진구 긴고랑로2길 13
MA010120220805494212,에이민스튜디오,,과학·기술,사진 촬영,사진촬영업,서울특별시 광진구 동일로18길 11
MA010120220805495649,와이피,,과학·기술,사진 촬영,사진촬영업,서울특별시 광진구 동일로24길 18-1
MA010120220805497476,잘듣는정신건강의학과의원,,보건의료,의원,신경/정신과 의원,서울특별시 광진구 광나루로 369
MA010120220805512422,골든네일,,수리·개인,이용·미용,네일숍,서울특별시 광진구 동일로22길 80
MA010120220805513303,파라곤마트,,소매,종합 소매,슈퍼마켓,서울특별시 광진구 광나루로 361
MA010120220805509049,주현대종합인테리어,,과학·기술,전문 디자인,인테리어 디자인업,서울특별시 광진구 동일로38길 3
MA010120220805507515,해법영어교실용마영어교습소,,교육,일반 교육,입시·교과학원,서울특별시 광진구 용마산로3길 98
MA010120220805508370,동대문엽기떡볶이,,음식,기타 간이,김밥/만두/분식,서울특별시 광진구 자양로 109
MA010120220805502965,에그허그,,음식,비알코올 ,카페,서울특별시 광진구 천호대로143길 8-5
MA010120220805507837,광진MJ모터스,,수리·개인,자동차 수리·세차,자동차 정비소,서울특별시 광진구 자양로 222
MA010120220805505866,유플러스빌건강식품,,소매,식료품 소매,건강보조식품 소매업,서울특별시 광진구 뚝섬로 663
MA010120220805506152,버드뷰커뮤니케이션,,과학·기술,광고,광고물 설계/제작업,서울특별시 광진구 아차산로78길 72
MA010120220805505803,파인드민,,과학·기술,전문 디자인,시각 디자인업,서울특별시 광진구 능동로3길 77
MA010120220805520815,케이더블유이노베이션,,시설관리·임대,가정용품 대여,만화방,서울특별시 광진구 군자로 149
MA010120220805523902,지금이밤,,음식,주점,요리 주점,서울특별시 광진구 능동로 27
MA010120220805524315,릴앤뷰티,,수리·개인,이용·미용,피부 관리실,서울특별시 광진구 능동로53길 28
MA010120220805521814,동방생고기,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 아차산로31길 28
MA010120220805522532,히트노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 자양로43길 42
MA010120220805525051,성수탑공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 뚝섬로24길 3
MA010120220805519892,약손명가에스테틱,,수리·개인,이용·미용,피부 관리실,서울특별시 광진구 아차산로 229
MA010120220805518931,온더코너,,음식,비알코올 ,카페,서울특별시 광진구 아차산로21길 44
MA010120220805515076,내가닭도리탕이다,,음식,한식,백반/한정식,서울특별시 광진구 뚝섬로55길 10
MA010120220805515015,수심,,음식,일식,일식 회/초밥,서울특별시 광진구 면목로 33-4
MA010120220805515858,에스게러지,,소매,자동차 부품 소매,자동차 부품 소매업,서울특별시 광진구 자양로28길 95
MA010120220805515714,어라운드스터디카페,,예술·스포츠,도서관·사적지,독서실/스터디 카페,서울특별시 광진구 뚝섬로 665
MA010120220805515817,박과장의조은회사,,음식,일식,일식 회/초밥,서울특별시 광진구 아차산로 345
MA010120220805536681,골프원정대행복투어,,시설관리·임대,여행사·보조,기타 여행 보조/예약 서비스업,서울특별시 광진구 능동로 275-1
MA010120220805533903,그리네,,음식,기타 간이,빵/도넛,서울특별시 광진구 동일로22길 117-7
MA010120220805528770,래빗홀버거컴퍼니,,음식,기타 간이,버거,서울특별시 광진구 광나루로 424
MA010120220805525315,대공원사진관,,과학·기술,사진 촬영,사진촬영업,서울특별시 광진구 능동로34길 123
MA010120220805528190,즐거운,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 동일로18길 70
MA010120220805528523,담율노동법률컨설팅,,과학·기술,법무관련 ,공인노무사,서울특별시 광진구 아차산로 378
MA010120220805530406,서다스터디카페,,예술·스포츠,도서관·사적지,독서실/스터디 카페,서울특별시 광진구 뚝섬로 672
MA010120220805545353,드림오피스,,소매,오락용품 소매,문구/회화용품 소매업,서울특별시 광진구 자양로 150
MA010120220805544497,9월에헤어,,수리·개인,이용·미용,미용실,서울특별시 광진구 천호대로107길 54
MA010120220805546307,서울강변작심독서실,,예술·스포츠,도서관·사적지,독서실/스터디 카페,서울특별시 광진구 광나루로56길 29
MA010120220805544925,다원전기조명,,소매,기타 생활용품 소매,전기용품/조명장치 소매업,서울특별시 광진구 면목로 191
MA010120220805542151,함일상회,,과학·기술,사진 촬영,사진촬영업,서울특별시 광진구 자양번영로5길 8
MA010120220805538263,스위트M,,수리·개인,기타 가정용품 수리,의류/이불 수선업,서울특별시 광진구 군자로7길 26
MA010120220805540888,씨투글로벌즈,,소매,자동차 부품 소매,자동차 부품 소매업,서울특별시 광진구 동일로 416
MA010120220805540261,에이치오토,,수리·개인,자동차 수리·세차,자동차 정비소,서울특별시 광진구 구천면로 13
MA010120220805535635,준드라이빙운전면허,,교육,기타 교육,운전학원,서울특별시 광진구 아차산로 358
MA010120220805538988,에드에이치,,과학·기술,광고,광고 대행업,서울특별시 광진구 자양번영로13길 22
MA010120220805539743,렛츠코인노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 자양로 277
MA010120220805535148,라청담미용실,,수리·개인,이용·미용,미용실,서울특별시 광진구 능동로 288
MA010120220805540144,상경침장아르페지오,,소매,섬유·의복·신발 소매,침구류/커튼 소매업,서울특별시 광진구 긴고랑로36길 25
MA010120220805547117,안티영어교육,,교육,일반 교육,입시·교과학원,서울특별시 광진구 아차산로 491
MA010120220805548364,커브스자양클럽,,예술·스포츠,스포츠 서비스,헬스장,서울특별시 광진구 뚝섬로 558
MA010120220805604931,노유웍스,,과학·기술,사진 촬영,사진촬영업,서울특별시 광진구 뚝섬로 476-14
MA010120220805565624,엔터컴,,소매,가전·통신 소매,컴퓨터/소프트웨어 소매업,서울특별시 광진구 광나루로56길 85
MA010120220805604242,동서가구,,소매,가구 소매,가구 소매업,서울특별시 광진구 천호대로 512
MA010120220805628251,수지헤어뉴스,,수리·개인,이용·미용,미용실,서울특별시 광진구 능동로3길 54
MA010120220805643619,엔피엔피,,소매,가전·통신 소매,핸드폰 소매업,서울특별시 광진구 천호대로102길 20
MA010120220805646882,씨유군자동일로점,,소매,종합 소매,편의점,서울특별시 광진구 동일로32길 18
MA010120220805609312,힐,,음식,비알코올 ,카페,서울특별시 광진구 뚝섬로66길 7
MA010120220805645363,뽑튜브,,예술·스포츠,유원지·오락,기타 오락장,서울특별시 광진구 동일로30길 42
MA010120220805644641,파란문,,소매,오락용품 소매,장난감 소매업,서울특별시 광진구 광나루로56길 85
MA010120220805610801,마우로아,,음식,서양식,경양식,서울특별시 광진구 능동로 320
MA010120220805607439,동아공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 긴고랑로13길 81
MA010120220805609514,동명공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 동일로38길 3
MA010120220805637546,파니오락실,,예술·스포츠,유원지·오락,전자 게임장,서울특별시 광진구 아차산로 241
MA010120220805637798,중곡기아오토큐,,수리·개인,자동차 수리·세차,자동차 정비소,서울특별시 광진구 면목로 194
MA010120220805638662,성윤공조시스템,,소매,기타 상품 소매,그 외 기타 상품 전문 소매업,서울특별시 광진구 뚝섬로52나길 6-9
MA010120220805642005,호탁구교실,,예술·스포츠,스포츠 서비스,탁구장,서울특별시 광진구 뚝섬로41길 8
MA010120220805635586,현대인의손맛,,음식,한식,백반/한정식,서울특별시 광진구 자양로 206-1
MA010120220805642421,줄리앤몰리,,음식,비알코올 ,카페,서울특별시 광진구 뚝섬로59길 67
MA010120220805654759,왕십리포차,,음식,주점,일반 유흥 주점,서울특별시 광진구 자양로50길 6
MA010120220805656540,퀸,,소매,의약·화장품 소매,화장품 소매업,서울특별시 광진구 능동로 411
MA010120220805655108,혼다모터싸이클바이크닥터조,,수리·개인,모터사이클 수리,모터사이클 수리업,서울특별시 광진구 아차산로 337
MA010120220805652055,대풍농산중곡동지점,,소매,식료품 소매,곡물/곡분 소매업,서울특별시 광진구 용마산로 75
MA010120220805682520,선주카페,,음식,비알코올 ,카페,서울특별시 광진구 강변북로 2230
MA010120220805686849,피자샵자양,,음식,기타 간이,피자,서울특별시 광진구 아차산로 334-1
MA010120220805687547,밍크뮤,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 능동로 90
MA010120220805648949,수포차,,음식,주점,일반 유흥 주점,서울특별시 광진구 능동로36길 55
MA010120220805648480,오색무지개노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 면목로 191
MA010120220805647826,광수육회,,음식,한식,소고기 구이/찜,서울특별시 광진구 면목로13길 3
MA010120220805648678,평강부동산중개사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 구의강변로 45
MA010120220805695504,사이다,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 용마산로5길 78
MA010120220805695518,미장원607,,수리·개인,이용·미용,미용실,서울특별시 광진구 뚝섬로 614
MA010120220805697200,닥터모락,,수리·개인,이용·미용,피부 관리실,서울특별시 광진구 아차산로 226
MA010120220805695563,드림휘트니스,,예술·스포츠,스포츠 서비스,헬스장,서울특별시 광진구 능동로24길 37
MA010120220805694786,뽀빠이우렁추어탕,,음식,한식,국/탕/찌개류,서울특별시 광진구 자양번영로 12
MA010120220805694028,동광인테리어,,과학·기술,전문 디자인,인테리어 디자인업,서울특별시 광진구 뚝섬로45길 28
MA010120220805702558,평생나눔사업협동조합,,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,서울특별시 광진구 강변역로4길 10
MA010120220805707434,링키홈아차산,,교육,기타 교육,외국어학원,서울특별시 광진구 자양로 324
MA010120220805724464,오늘도좋은날,,음식,주점,요리 주점,서울특별시 광진구 동일로70길 47
MA010120220805726572,메케니멀모터스,,소매,모터사이클 소매,모터사이클 및 부품 소매업,서울특별시 광진구 뚝섬로 710-1
MA010120220805727794,롯데건대스타시티슈스파,,소매,섬유·의복·신발 소매,신발 소매업,서울특별시 광진구 능동로 92
MA010120220805728033,지유에이건축사사무소,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,서울특별시 광진구 능동로36길 109
MA010120220805726917,제이와이컨설팅,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 아차산로49길 41-11
MA010120220805726103,도프존,,소매,오락용품 소매,자전거 소매업,서울특별시 광진구 능동로4길 78
MA010120220805688360,리하이,,음식,중식,중국집,서울특별시 광진구 아차산로 444
MA010120220805726866,길조텔레콤,,소매,가전·통신 소매,핸드폰 소매업,서울특별시 광진구 광나루로56길 85
MA010120220805692154,웰빙,,수리·개인,욕탕·신체관리,마사지/안마,서울특별시 광진구 능동로 343
MA010120220805688664,이청우행정사사무소,,과학·기술,법무관련 ,기타 법무관련 서비스업,서울특별시 광진구 아차산로 378
MA010120220805688913,그루스터디센터구의,,예술·스포츠,도서관·사적지,독서실/스터디 카페,서울특별시 광진구 광나루로54길 32
MA010120220805688283,그린슈퍼,,소매,종합 소매,슈퍼마켓,서울특별시 광진구 용마산로28가길 16
MA010120220805691951,커피에반하다강변역점,,음식,비알코올 ,카페,서울특별시 광진구 광나루로56길 29
MA010120220805689494,이삭,,음식,기타 간이,피자,서울특별시 광진구 자양로3길 59
MA010120220805727664,포커스,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 능동로 92
MA010120220805727976,수헤어,,수리·개인,이용·미용,미용실,서울특별시 광진구 동일로78길 39
MA010120220805713147,씨유구의지너스점,,소매,종합 소매,편의점,서울특별시 광진구 강변역로4길 10
MA010120220805712206,지리공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 천호대로112길 17
MA010120220805736390,하이드로플러스,,소매,가전·통신 소매,가전제품 소매업,서울특별시 광진구 아차산로78길 75
MA010120220805735997,비에이치라이프,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 광나루로20길 36-17
MA010120220805736261,피아이컨설팅,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 자양로 187-1
MA010120220805736482,세경마리나,,예술·스포츠,유원지·오락,수상/해양 레저업,서울특별시 광진구 자양로 86
MA010120220805729140,브라이트바버샵,,수리·개인,이용·미용,미용실,서울특별시 광진구 능동로 69
MA010120220805768336,그레이하우스,,과학·기술,전문 디자인,패션/섬유/기타 전문 디자인업,서울특별시 광진구 광나루로30다길 11
MA010120220805729011,블루피쉬,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 능동로 391
MA010120220805730302,슈퍼스타코인노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 아차산로29길 25
MA010120220805730106,일감문화사,,시설관리·임대,사무 지원,복사업,서울특별시 광진구 광나루로24길 12
MA010120220805728717,사거리식당,,음식,주점,요리 주점,서울특별시 광진구 아차산로33길 43
MA010120220805730501,르꼬끄스포르티브롯데스타시티,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 능동로 92
MA010120220805730681,성심공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 자양로18길 12
MA010120220805729135,부동산비밀노트,,과학·기술,광고,광고 대행업,서울특별시 광진구 천호대로101길 27-1
MA010120220805758053,365청소관리,,시설관리·임대,청소·방제,건축물 일반 청소업,서울특별시 광진구 자양로32길 88
MA010120220805799204,럭키네일,,수리·개인,이용·미용,네일숍,서울특별시 광진구 광나루로52길 106
MA010120220805791473,콴차이,,음식,중식,중국집,서울특별시 광진구 자양로18길 17
MA010120220805750871,현지실사세상,,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,서울특별시 광진구 면목로 82-1
MA010120220805805220,함루,,음식,일식,일식 회/초밥,서울특별시 광진구 능동로 90
MA010120220805805340,딥247,,음식,주점,일반 유흥 주점,서울특별시 광진구 자양로18길 53
MA010120220805805759,몬스터테이블,,음식,주점,요리 주점,서울특별시 광진구 답십리로 382
MA010120220805803871,건국카서비스,,수리·개인,자동차 수리·세차,자동차 정비소,서울특별시 광진구 자양로 177-1
MA010120220805799691,강릉집,,음식,한식,백반/한정식,서울특별시 광진구 영화사로 5-3
MA010120220805802327,씨에스골프,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 워커힐로 177
MA010120220805801008,불향쭈꾸미&낙지,,음식,한식,백반/한정식,서울특별시 광진구 광나루로 361
MA010120220805802143,클린굿즈,,시설관리·임대,청소·방제,산업설비; 운송장비 및 공공장소 청소업,서울특별시 광진구 자양로4나길 44
MA010120220805831564,용용선생1호점;2호점,,음식,주점,요리 주점,서울특별시 광진구 아차산로33길 25
MA010120220805837622,브라운휘트니스,,예술·스포츠,스포츠 서비스,헬스장,서울특별시 광진구 광나루로 346
MA010120220805834436,아리라인,,소매,의약·화장품 소매,화장품 소매업,서울특별시 광진구 천호대로 572
MA010120220805854806,엉터리생고기두번째이야기,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 아차산로 218
MA010120220805847088,카레시대,,음식,한식,백반/한정식,서울특별시 광진구 아차산로41길 44
MA010120220805855015,요하넥스,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 능동로 92
MA010120220805823648,비트믹스스튜디오학원,,교육,기타 교육,레크리에이션 교육기관,서울특별시 광진구 아차산로 235
MA010120220805819582,디에이치글로벌그룹,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 자양번영로6길 52
MA010120220805842649,프리네트워크,,소매,가전·통신 소매,컴퓨터/소프트웨어 소매업,서울특별시 광진구 광나루로56길 85
MA010120220805842296,핑크노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 구의강변로 85-1
MA010120220805844150,클린케어시스템,,시설관리·임대,청소·방제,소독; 구충 및 방제 서비스업,서울특별시 광진구 천호대로 557
MA010120220805843458,소풍,,음식,한식,백반/한정식,서울특별시 광진구 자양로45길 13
MA010120220805843466,정담은코다리동태탕,,음식,한식,백반/한정식,서울특별시 광진구 천호대로143길 12
MA010120220805842571,작은성,,음식,주점,요리 주점,서울특별시 광진구 면목로 113-1
MA010120220805843862,이엑스플랜,,과학·기술,전문 디자인,인테리어 디자인업,서울특별시 광진구 자양로49길 16-7
MA010120220805848728,한양공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 뚝섬로38길 18
MA010120220805848350,동포활동실,,예술·스포츠,유원지·오락,기타 오락장,서울특별시 광진구 뚝섬로23가길 5-4
MA010120220805842487,악쓰는하마코인노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 능동로 107
MA010120220805866156,이손음악교습소,,교육,기타 교육,음악학원,서울특별시 광진구 군자로 82
MA010120220805856961,앵콜노래방,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 아차산로40길 9-1
MA010120220805858280,두두살롱,,수리·개인,이용·미용,미용실,서울특별시 광진구 동일로 178
MA010120220805861611,클린마미,,시설관리·임대,청소·방제,건축물 일반 청소업,서울특별시 광진구 동일로 286
MA010120220805860540,이디야커피건대스타시티,,음식,비알코올 ,카페,서울특별시 광진구 능동로 92
MA010120220805889641,대공원공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 천호대로 562
MA010120220805887772,천하열쇠,,소매,철물·건설자재 소매,철물/공구 소매업,서울특별시 광진구 동일로24길 30
MA010120220805890289,곽홍백외식연구소식당,,음식,한식,백반/한정식,서울특별시 광진구 면목로 92
MA010120220805887934,쌈지,,소매,섬유·의복·신발 소매,신발 소매업,서울특별시 광진구 자양로15길 18
MA010120220805887680,피티니스,,예술·스포츠,스포츠 서비스,헬스장,서울특별시 광진구 동일로24길 86
MA010120220805891255,문경엠케이포스,,소매,안경·정밀기기 소매,사무기기 소매업,서울특별시 광진구 아차산로78길 75
MA010120220805891618,김앤홍,,교육,기타 교육,기타 기술/직업 훈련학원,서울특별시 광진구 능동로 339
MA010120220805898317,세종김밥떡볶이,,음식,기타 간이,김밥/만두/분식,서울특별시 광진구 광나루로 375-1
MA010120220805900290,이슈,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 능동로48길 21
MA010120220805899732,안녕가비,,음식,비알코올 ,카페,서울특별시 광진구 능동로53길 41
MA010120220805900136,행정사사무소너른,,과학·기술,법무관련 ,행정사,서울특별시 광진구 능동로 327-1
MA010120220805906375,캘리스코타코벨건대스타시티점,,음식,서양식,기타 서양식 음식점,서울특별시 광진구 아차산로 262
MA010120220805927075,다브앙,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 용마산로28길 9
MA010120220805926641,아이핸,,과학·기술,전문 디자인,패션/섬유/기타 전문 디자인업,서울특별시 광진구 동일로64길 9
MA010120220805930462,시원테크,,시설관리·임대,산업용품 대여,기타 산업용 기계/장비 대여업,서울특별시 광진구 동일로10가길 19
MA010120220805927374,에스알엔디팩토리,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 뚝섬로 702-9
MA010120220805927594,데로사,,소매,오락용품 소매,자전거 소매업,서울특별시 광진구 광장로 59-1
MA010120220805929116,조이너스,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 자양로15길 42
MA010120220805930361,훈이네,,소매,식료품 소매,반찬/식료품 소매업,서울특별시 광진구 천호대로129길 56
MA010120220805896836,카페미뇽,,음식,비알코올 ,카페,서울특별시 광진구 아차산로29길 12
MA010120220805895101,제우스,,소매,기타 생활용품 소매,주방/가정용품 소매업,서울특별시 광진구 광나루로56길 85
